code,pref
011,北海道
0123,北海道
0138,北海道
0143,北海道
0144,北海道
0154,北海道
0155,北海道
0157,北海道
0166,北海道
017,青森県
019,岩手県
022,宮城県
0223,宮城県
0225,宮城県
0229,宮城県
018,秋田県
023,山形県
024,福島県
029,茨城県
028,栃木県
027,群馬県
048,埼玉県
049,埼玉県
043,千葉県
047,千葉県
04,千葉県
03,東京都
042,東京都
0422,東京都
045,神奈川県
044,神奈川県
046,神奈川県
0463,神奈川県
0465,神奈川県
0466,神奈川県
025,新潟県
076,富山県|石川県
0776,福井県
055,山梨県
026,長野県
0263,長野県
058,岐阜県
054,静岡県
053,静岡県
052,愛知県
0561,愛知県
0562,愛知県
0564,愛知県
0565,愛知県
0566,愛知県
0568,愛知県
059,三重県
077,滋賀県
075,京都府
0771,京都府
0774,京都府
06,大阪府
072,大阪府
078,兵庫県
079,兵庫県
0742,奈良県
073,和歌山県
0857,鳥取県
0852,島根県
086,岡山県
082,広島県
084,広島県
083,山口県
088,徳島県|高知県
087,香川県
089,愛媛県
092,福岡県
093,福岡県
0940,福岡県
0942,福岡県
0952,佐賀県
095,長崎県
096,熊本県
0964,熊本県
0965,熊本県
0968,熊本県
097,大分県
0972,大分県
0973,大分県
0974,大分県
0977,大分県
0978,大分県
0979,大分県
0985,宮崎県
0982,宮崎県
099,鹿児島県
098,沖縄県
