form_no,file,condition,deliveries,sender_id
1,form_42_00000.png,current(1),1,S0004
2,form_42_00001.png,current(1),1,S0010
3,form_42_00002.png,current(1),3,S0013
4,form_42_00003.png,current(1),1,S0005
5,form_42_00004.png,current(1),2,S0008
6,form_42_00005.png,current(1),2,S0006
7,form_42_00006.png,current(1),3,S0006
8,form_42_00007.png,current(1),1,S0012
9,form_42_00008.png,current(1),3,S0003
10,form_42_00009.png,current(1),1,S0004
11,form_42_00010.png,agent(2),1,S0011
12,form_42_00011.png,agent(2),1,S0006
13,form_42_00012.png,agent(2),1,S0009
14,form_42_00013.png,agent(2),3,S0007
15,form_42_00014.png,agent(2),2,S0013
16,form_42_00015.png,agent(2),1,S0008
17,form_42_00016.png,agent(2),1,S0003
18,form_42_00017.png,agent(2),3,S0003
19,form_42_00018.png,agent(2),2,S0007
20,form_42_00019.png,agent(2),1,S0008
21,form_42_00020.png,agent(2),2,S0005
22,form_42_00021.png,agent(2),1,S0004
23,form_42_00022.png,agent(2),2,S0011
24,form_42_00023.png,agent(2),1,S0002
25,form_42_00024.png,agent(2),2,S0006
26,form_42_00025.png,agent(2),1,S0006
27,form_42_00026.png,agent(2),2,S0001
28,form_42_00027.png,agent(2),2,S0012
29,form_42_00028.png,agent(2),3,S0009
30,form_42_00029.png,agent(2),2,S0003
