form_no,deliveries,status,review_seconds,review_fields
11,1,confirmed,40.4,14
12,1,confirmed,39.7,14
13,1,confirmed,43.6,14
14,3,confirmed,70.7,30
15,2,confirmed,63.6,22
16,1,confirmed,42.0,14
17,1,confirmed,39.5,14
18,3,confirmed,77.8,30
19,2,confirmed,75.9,22
20,1,confirmed,66.4,14
21,2,confirmed,57.5,22
22,1,confirmed,48.5,14
23,2,confirmed,59.8,22
24,1,confirmed,40.7,14
25,2,confirmed,66.0,22
26,1,confirmed,49.0,14
27,2,confirmed,86.3,22
28,2,confirmed,63.7,22
29,3,confirmed,91.6,30
30,2,confirmed,117.0,22
