form_no,deliveries,status,review_seconds,review_fields,fields
201,3,confirmed,4.3,1,30
202,3,confirmed,,0,30
203,2,confirmed,,0,22
204,2,confirmed,,0,22
205,1,confirmed,,0,14
206,2,confirmed,13.7,3,22
207,1,confirmed,,0,14
208,3,confirmed,4.1,1,30
209,2,confirmed,7.2,1,22
210,2,confirmed,,0,22
211,1,confirmed,4.5,1,14
212,1,confirmed,,0,14
213,1,confirmed,,0,14
214,3,confirmed,9.9,2,30
215,2,confirmed,,0,22
216,1,confirmed,13.4,5,6
217,1,confirmed,3.4,1,14
218,1,confirmed,9.7,3,14
219,1,confirmed,,0,14
220,1,confirmed,,0,14
